Customer ID,Age,Gender,Subscription Status,Location,Previous Purchases,Frequency of Purchases,Payment Method
1,55,Male,Yes,Kentucky,14,Fortnightly,Credit Card
2,19,Male,Yes,Maine,2,Fortnightly,Bank Transfer
3,50,Male,Yes,Massachusetts,23,Weekly,Cash
4,21,Male,Yes,Rhode Island,49,Weekly,PayPal
5,45,Male,Yes,Oregon,31,Annually,Cash
6,46,Male,Yes,Wyoming,14,Weekly,Venmo
7,63,Male,Yes,Montana,49,Quarterly,Debit Card
8,27,Male,Yes,Louisiana,19,Weekly,Debit Card
9,26,Male,Yes,West Virginia,8,Annually,Venmo
10,57,Male,Yes,Missouri,4,Quarterly,PayPal
11,53,Male,Yes,Arkansas,26,Bi-Weekly,Credit Card
12,30,Male,Yes,Hawaii,10,Fortnightly,PayPal
13,61,Male,Yes,Delaware,37,Fortnightly,PayPal
14,65,Male,Yes,New Hampshire,31,Weekly,Debit Card
15,64,Male,Yes,New York,34,Weekly,PayPal
16,64,Male,Yes,Rhode Island,8,Monthly,Credit Card
17,25,Male,Yes,Alabama,44,Bi-Weekly,Venmo
18,53,Male,Yes,Mississippi,36,Quarterly,Debit Card
19,52,Male,Yes,Montana,17,Weekly,Bank Transfer
20,66,Male,Yes,Rhode Island,46,Bi-Weekly,Venmo
21,21,Male,Yes,Louisiana,50,Every 3 Months,Credit Card
22,31,Male,Yes,North Carolina,22,Quarterly,Credit Card
23,56,Male,Yes,California,32,Annually,Cash
24,31,Male,Yes,Oklahoma,40,Weekly,Credit Card
25,18,Male,Yes,Florida,16,Weekly,Cash
26,18,Male,Yes,Texas,14,Annually,Bank Transfer
27,38,Male,Yes,Nevada,13,Annually,Cash
28,56,Male,Yes,Kentucky,7,Every 3 Months,Debit Card
29,54,Male,Yes,North Carolina,41,Every 3 Months,Debit Card
30,31,Male,Yes,Wyoming,14,Weekly,Venmo
31,57,Male,Yes,North Carolina,16,Monthly,Bank Transfer
32,33,Male,Yes,West Virginia,45,Monthly,Venmo
33,36,Male,Yes,Kansas,37,Annually,Bank Transfer
34,54,Male,Yes,Colorado,45,Quarterly,Venmo
35,36,Male,Yes,North Dakota,38,Quarterly,Debit Card
36,54,Male,Yes,Massachusetts,48,Bi-Weekly,Bank Transfer
37,35,Male,Yes,Illinois,44,Fortnightly,Cash
38,35,Male,Yes,Indiana,10,Weekly,Debit Card
39,29,Male,Yes,Florida,44,Every 3 Months,Debit Card
40,70,Male,Yes,Arizona,18,Monthly,Bank Transfer
41,69,Male,Yes,Louisiana,31,Quarterly,PayPal
42,67,Male,Yes,Alaska,40,Annually,Cash
43,20,Male,Yes,Tennessee,15,Annually,Bank Transfer
44,25,Male,Yes,Ohio,19,Fortnightly,PayPal
45,39,Male,Yes,Kentucky,45,Weekly,Bank Transfer
46,50,Male,Yes,Tennessee,25,Annually,Venmo
47,57,Male,Yes,California,45,Quarterly,Venmo
48,55,Male,Yes,Montana,36,Weekly,Debit Card
49,42,Male,Yes,Nevada,38,Monthly,Debit Card
50,68,Male,Yes,New Jersey,34,Bi-Weekly,Bank Transfer
51,49,Male,Yes,Maryland,39,Bi-Weekly,Cash
52,59,Male,Yes,Vermont,7,Quarterly,PayPal
53,42,Male,Yes,Alaska,26,Weekly,Credit Card
54,29,Male,Yes,Mississippi,35,Weekly,Debit Card
55,47,Male,Yes,New Mexico,35,Bi-Weekly,Bank Transfer
56,40,Male,Yes,South Carolina,49,Annually,Venmo
