Customer ID,Order_ID,Purchase Amount (USD),Discount Applied,Promo Code Used,Shipping Type,Season,Product_ID
1,ORD3000,53,Yes,Yes,Express,Winter,PROD2001
2,ORD3001,64,Yes,Yes,Express,Winter,PROD2002
3,ORD3002,73,Yes,Yes,Free Shipping,Spring,PROD2003
4,ORD3003,90,Yes,Yes,Next Day Air,Spring,PROD2004
5,ORD3004,49,Yes,Yes,Free Shipping,Spring,PROD2005
6,ORD3005,20,Yes,Yes,Standard,Summer,PROD2006
7,ORD3006,85,Yes,Yes,Free Shipping,Fall,PROD2007
8,ORD3007,34,Yes,Yes,Free Shipping,Winter,PROD2008
9,ORD3008,97,Yes,Yes,Express,Summer,PROD2009
10,ORD3009,31,Yes,Yes,2-Day Shipping,Spring,PROD2010
11,ORD3010,34,Yes,Yes,Store Pickup,Fall,PROD2011
12,ORD3011,68,Yes,Yes,Store Pickup,Winter,PROD2012
13,ORD3012,72,Yes,Yes,Express,Winter,PROD2013
14,ORD3013,51,Yes,Yes,Express,Spring,PROD2014
15,ORD3014,53,Yes,Yes,Free Shipping,Winter,PROD2015
16,ORD3015,81,Yes,Yes,Store Pickup,Winter,PROD2016
17,ORD3016,36,Yes,Yes,Next Day Air,Spring,PROD2017
18,ORD3017,38,Yes,Yes,2-Day Shipping,Winter,PROD2018
19,ORD3018,48,Yes,Yes,Free Shipping,Summer,PROD2019
20,ORD3019,90,Yes,Yes,Standard,Summer,PROD2020
21,ORD3020,51,Yes,Yes,Express,Winter,PROD2021
22,ORD3021,62,Yes,Yes,Store Pickup,Winter,PROD2022
23,ORD3022,37,Yes,Yes,Store Pickup,Summer,PROD2023
24,ORD3023,88,Yes,Yes,Express,Winter,PROD2024
25,ORD3024,22,Yes,Yes,Store Pickup,Fall,PROD2025
26,ORD3025,25,Yes,Yes,Express,Summer,PROD2026
27,ORD3026,20,Yes,Yes,Next Day Air,Spring,PROD2027
28,ORD3027,56,Yes,Yes,Next Day Air,Summer,PROD2028
29,ORD3028,94,Yes,Yes,Free Shipping,Fall,PROD2029
30,ORD3029,48,Yes,Yes,Store Pickup,Fall,PROD2030
31,ORD3030,31,Yes,Yes,Standard,Winter,PROD2031
32,ORD3031,79,Yes,Yes,Store Pickup,Winter,PROD2032
33,ORD3032,67,Yes,Yes,Free Shipping,Summer,PROD2033
34,ORD3033,38,Yes,Yes,Store Pickup,Summer,PROD2034
35,ORD3034,91,Yes,Yes,2-Day Shipping,Spring,PROD2035
36,ORD3035,33,Yes,Yes,2-Day Shipping,Summer,PROD2036
37,ORD3036,69,Yes,Yes,Free Shipping,Winter,PROD2037
38,ORD3037,45,Yes,Yes,Store Pickup,Summer,PROD2038
