Item Purchased,Category,Size,Color,Season,Review Rating,Product_ID
Blouse,Clothing,L,Gray,Winter,3.1,PROD2001
Sweater,Clothing,L,Maroon,Winter,3.1,PROD2002
Jeans,Clothing,S,Maroon,Spring,3.1,PROD2003
Sandals,Footwear,M,Maroon,Spring,3.5,PROD2004
Blouse,Clothing,M,Turquoise,Spring,2.7,PROD2005
Sneakers,Footwear,M,White,Summer,2.9,PROD2006
Shirt,Clothing,M,Gray,Fall,3.2,PROD2007
Shorts,Clothing,L,Charcoal,Winter,3.2,PROD2008
Coat,Outerwear,L,Silver,Summer,2.6,PROD2009
Handbag,Accessories,M,Pink,Spring,4.8,PROD2010
Shoes,Footwear,L,Purple,Fall,4.1,PROD2011
Shorts,Clothing,S,Olive,Winter,4.9,PROD2012
Coat,Outerwear,M,Gold,Winter,4.5,PROD2013
Dress,Clothing,M,Violet,Spring,4.7,PROD2014
Coat,Outerwear,L,Teal,Winter,4.7,PROD2015
Skirt,Clothing,M,Teal,Winter,2.8,PROD2016
Sunglasses,Accessories,S,Gray,Spring,4.1,PROD2017
Dress,Clothing,XL,Lavender,Winter,4.7,PROD2018
Sweater,Clothing,S,Black,Summer,4.6,PROD2019
Pants,Clothing,M,Green,Summer,3.3,PROD2020
Pants,Clothing,M,Black,Winter,2.8,PROD2021
Pants,Clothing,M,Charcoal,Winter,4.1,PROD2022
Pants,Clothing,M,Peach,Summer,3.2,PROD2023
Pants,Clothing,XL,White,Winter,4.4,PROD2024
Jacket,Outerwear,M,Green,Fall,2.9,PROD2025
Hoodie,Clothing,M,Silver,Summer,3.6,PROD2026
Jewelry,Accessories,M,Red,Spring,3.6,PROD2027
Shorts,Clothing,L,Cyan,Summer,5,PROD2028
Handbag,Accessories,M,Gray,Fall,4.4,PROD2029
Dress,Clothing,S,Black,Fall,4.1,PROD2030
Jewelry,Accessories,L,Black,Winter,4.7,PROD2031
Dress,Clothing,L,Brown,Winter,4.7,PROD2032
Jacket,Outerwear,M,Silver,Summer,4.9,PROD2033
Pants,Clothing,L,Green,Summer,3.3,PROD2034
T-shirt,Clothing,L,Violet,Spring,4.6,PROD2035
Blouse,Clothing,M,Cyan,Summer,4,PROD2036
T-shirt,Clothing,M,Maroon,Winter,4.6,PROD2037
Jeans,Clothing,S,Cyan,Summer,2.8,PROD2038
Dress,Clothing,M,Red,Winter,3.7,PROD2039
Pants,Clothing,S,Turquoise,Summer,4.2,PROD2040
Handbag,Accessories,L,Beige,Winter,4.6,PROD2041
Scarf,Accessories,M,Orange,Spring,4.5,PROD2042
Coat,Outerwear,M,Beige,Spring,4.1,PROD2043
Scarf,Accessories,L,Lavender,Fall,3.7,PROD2044
Hat,Accessories,S,Silver,Summer,4.6,PROD2045
Socks,Clothing,XL,Indigo,Fall,2.9,PROD2046
Shirt,Clothing,L,White,Summer,2.9,PROD2047
Jewelry,Accessories,M,Charcoal,Winter,4.5,PROD2048
Shirt,Clothing,M,Orange,Summer,2.7,PROD2049
Hoodie,Clothing,S,Indigo,Spring,4.6,PROD2050
Blouse,Clothing,M,Red,Spring,3.7,PROD2051
Skirt,Clothing,XL,Gray,Winter,4.7,PROD2052
T-shirt,Clothing,M,Green,Summer,2.6,PROD2053
Skirt,Clothing,S,Peach,Winter,3.9,PROD2054
Coat,Outerwear,M,Brown,Summer,4.2,PROD2055
Jacket,Outerwear,M,Lavender,Winter,3,PROD2056
Backpack,Accessories,XL,Brown,Summer,4.7,PROD2057
Coat,Outerwear,M,White,Summer,4.4,PROD2058
Hoodie,Clothing,M,Charcoal,Summer,4.2,PROD2059
Belt,Accessories,L,Yellow,Spring,4.6,PROD2060
Sweater,Clothing,L,Brown,Summer,4,PROD2061
Scarf,Accessories,M,Orange,Winter,4.7,PROD2062
Sneakers,Footwear,S,Magenta,Spring,3.8,PROD2063
Sunglasses,Accessories,L,Lavender,Winter,2.7,PROD2064
